target,text
4,Night Museum Wolverine junk food perfect monday
4,night museum last night pretty crazy movie cast awesome well worth Robin Williams forever
2,Night Museum Battle Swithsonian today okay typical kids Stiller movie
2,Taking Katie Night Museum picked
0,Night Museum tonite instead well better enjoy
2,says expects announcment sale Hummer soon Reuters WDSUGM says expects announcment sale Hummer
0,unfortunate Stimulus plan place twice help back American people inevitable
0,Tell giving programs support unemployed
0,dies worth hahaha
0,Time Warner cable time since Memorial bummer
0,would rather reasonable yearly taxes free fast internet gouged Time Warner slow connection
0,died half presser Hate Time Warner
0,Time Warner Cable cking suck balls damn channels hardly ever come Bullshit
0,time warner worse customer service ever never
0,Time warner devil Worst possible time Internet
0,Fuck internet damn time warner
0,time warner really picks worst time work want watch hills
0,hate Time Warner wish Vios Cant watch fricken Mets game buffering feel like watching free internet porn
0,stupid time warner today taking roomies cook Pretty good monday Happy
0,Time Warner line crap
0,fucked time warner cable didnt know modems could explode Susan Boyle sucks
2,Time Warner Cable Pulls Plug Girlfriend Experience
0,Time Warner Cable slogan calling Happens
2,Rocawear Heads China Building Stores
2,Climate focus turns Beijing United Nations European governments called China
2,myfoxdc Barrie Students Back Trip China Silver Spring high school class trip China
2,Three China aerospace giants develop Tianjin Binhai Area yuan invested
2,China continue partner
2,time
0,Recovering surgery wishing
4,wrist still hurts looked HATE dentist scary places Time watch Eagle want join
2,Dentist tomorrow brush well morning Like make hair nice
0,DENTIST LIED FEEL DISCOMORT PROB EVEN NEED PAIN PILLS TWIPPIN SHIT HURT MANY PILLS TAKE
0,dentist great expensive
2,Dentist
4,studing math Wink tomorrow exam dentist Happy
0,dentist wrong WRONG
0,Going dentist later Neutral
0,looking cars online hate shopping Would rather dentist Anyone good good price sell
2,NCAA Baseball Super Regional Rams Club
2,started playing Major League Baseball
2,Cardinals baseball advance Super Regionals Face Fullerton Friday
2,Sony coupon code Expires soon
2,waiting line safeway
0,luke stopped walking safeway asked empty pockets lift shirts jacked
2,realize Safeway
2,three words Safeway
4,Safeway rock roll tonight
2,Bout safeway gotta
2,Jake going safeway
2,Found safeway Picking staples
2,Safeway Super marketing mobile coupons
0,safeway bathroom still smells like
0,safeway elkhorn move like dead
2,Normal Weight Normal Eating Blog
2,Eating Watching Movies
2,eating sashimi
2,eating home made yema
2,eating cake
4,love Dwight Howard vitamin water commercial wish NIKE adidas
0,Found NOTHING Nike Factory Confused Banana Republic Outlet
2,iPhone Radio Tagging Nike Recently released iTunes version suggests VoiceOver functional
4,lovin Nike already running spot bedroom
2,Launched imgsearch ajax jquery webapp
4,finally around using jquery make collapse slide animations
2,Ultimate jQuery List
2,extracted open sourced jQuery plugin Stormweight highlight text regular expression
2,jquery hack
2,jQuery Cheat Sheet
2,Beginning JavaScript Development jQuery javascript css jquery
4,right high expectations Warren Buffet style
4,GREAT Someone sitting shade today someone planted tree long time Warren Buffet
2,Warren Buffet economy
4,Warren Buffet became time richest United States working investing idea lead fortune
4,According create school Notre Dame receivers NCAA higher rating Happy sweet
2,Star Basketball Classic Tuesday Features Talent Chattanooga Notre Dame High School play host
4,definitely warranty experience amazon support kindle great contact kindle
2,Look Available Amazon Kindle Kindle Electronic Book Reader Period free ship
0,Time Warner Road Runner customer support absolutely blows hate high speed options ready nuclear
0,Time Warner cable phone reps dumber nails Cable working mins
0,tried Time Warner nice recorded today Happy
0,time warner internet install instead today NEXT saturday another week internet ehfa
0,never seen line long time warner
0,Impatiently awaiting arrival time warner pretty inside afternoon
2,accosts Roger Federer French Open
0,Naive Bayes using Text Classification Really Frustrating
4,went Stanford University today tour Made want back college also decided kids
2,Investigation pending death Stanford prof Google mentor Rajeev Motwani
2,going successful weekend Stanford come
0,harassed calls warranty changing number call every number bags
0,blocked United Blood Services using Google Voice call Warranty guys
0,complete fail
0,SNAP WORK
0,really dont want phone service suck comes signal
0,small talk slogan give money Apologies Geldof
0,pissed contract upgrade price iPhone going something thought
0,Safari fast Happy Even shitty tethering
0,fucking
0,dropped ball supporting crap iPhone FAIL att SUCKS
0,glad phone Still damn
2,Google Wave Developer Sandbox Account Request
0,Talk Cheap Bing stick Google
0,point deleting tweets still found summize searches Twitter please Thanks
2,google profiles stopped showing searches cant anymore
4,love Google Translator Happy Good mate
4,reading Kindle
4,Kindle came LOVE Happy
4,LOVING Kindle Named Kendra case wondering cookbook tool tells tricks Best gift
0,real scandal
2,twitter aprs apps
2,Pros Following Twitter
4,Obama quite good comedian check dinner speech Happy funny jokes
4,Barack Obama shows funny side Great speech
4,like Barack Obama shows funny side
4,Obama speech pretty awesome last night
4,Reading Bill Clinton Fail Obama
4,Obama Popular Among Arabs Survey President Barack Obama popularity leading Arab countries
4,Obama JOKES haha watch dinner speech last night love president Wink
0,LEbron james accident guess heard evening news cant believe
4,best playoffs years lebron melo finals
4,Lebron best
4,LeBron cool like personality good character
4,Watching Lebron highlights Damn niggas good
4,Lebron MURDERING shit
4,LeBron monsta world ready
4,Lebron done probably greater Kobe Like said Kobe good alot good players
4,KOBE GOOD LEBRON VOTE
0,Kobe best world lebron
4,World Access Damn good look
4,bought tickets FIFA World South Africa going great summer
2,Share Disruption Fred Wilson slides talk Google
0,Booz Allen Hamilton meeting home Happy
4,great Indian tamasha truly unfold result Indian General Election
4,Kindle seen pictures seen person love Kindle everyday
4,awesome idea continual learning program Kindle
2,nothing thinking
4,model getting LOVE LOVE LOVE LOVE
4,Times India wonder India election
4,Good video Google using search options
0,skin itchy damn lawnmowing
0,itchy back dont hate
4,Stanford Charity Fashion Show draw
4,Stanford University Facebook Profile Popular Official University Pages
4,cool
4,DISSAPOiNTED SENT DANNY GOKEY HOME STiLL ROCK DANNY HOMETOWN HERO YEAH MiLROCKEE
4,American Idol fashion Adam Lambert tones Danny Gokey cute
4,love DANNY GOKEY Happy
2,OnStar instantly sends accident location coordinates Obsessed
0,tired sleep well last night
0,Boarding plane Francisco hour flight Blech
0,bonjour Francisco back hurts last night
2,breakers Francisco
2,Heading Francisco
4,best girl hours francisco Mmfamily wonderful
0,home
4,Went Star Trek movie last night satisfying
4,wait going star trek tonight
4,Star Trek good everyone said
4,loving malcolm gladwell book outliers
4,highly recommend Malcolm Gladwell Tipping Point next audiobook probably well
0,Malcolm Gladwell genius tricking people realizing fucking idiot
0,offense malcolm gladwell pretenious annoying cunt brings cant read shit
4,Great article Malcolm Gladwell
4,seriously underestimated Malcolm Gladwell want meet dude
0,hate comcast right everything cable internet phone ughh
0,Comcast sucks
0,never deal Comcast rank best days life
0,comcast fail
2,twitter
0,curses Twitter limit
0,Dave Winer screams lack Twitter limitations access throttles
2,testing Twitter
0,Twitter making crazy
2,Testing Twitter Remote Update
4,really loving search site Wolfram Alpha Makes Google seem quaint
0,wolfram Alpha SUCKS Even researchers information provided less google wikipedia totally useless
4,NIKE factory
4,nike muppet commercials pretty cute live together
2,blog post Nike Zoom LeBron Soldier White Black Teal
2,blog post Nike Trainer
0,awesome wish owned nike
4,AWESOME Seeing show Friday Shoreline Amphitheatre Never seen wait
0,arhh weka spent almost hours find crappy
4,Happy love although love mkII
4,office Happy
4,picked Canon beautiful Prepare seriously awesome photography
4,Canon Love love love
4,Learning lambda calculus Happy
2,jobs sittercity Help taking care sick child East Palo Alto
4,moving East Palo Alto
4,atebits finished watching Stanford iPhone Class session really appreciate Rock
4,Stanford talk really liked advice saying Singapore videos around
2,MBA Admissions Tips Stanford Deadlines Essay Topics
2,Ethics nonprofits stanford socialentrepreneurship
4,LAKERS tonight
4,Lakers kick Nuggets tonight
0,North Korea trouble
0,heck North Korea conducted powerful nuclear tests Follow link
0,Listening Obama Friggin North Korea
0,realized three monkeys white Obama Biden Pelosi Sarah Palin
0,Pelosi stay China never come back
0,Nancy Pelosi gave worst commencement speech ever heard still bitter
0,amount times stupid insects bitten
4,Prettiest insects EVER Pink Katydids
0,barraged horde insects hungry kitchen light scary
4,McDonalds dinner Happy Meal Wink
4,TELL HUBBY MCDONALDS
4,Stopped lunch McDonalds Chicken Nuggets Happy yumy
4,Could McDonalds mean
4,exam went good prayers worked
4,exam left happy Happy
0,Math review going fail exam
0,Colin Powell rocked yesterday Cheney needs shut hell home Powell Honor served country proudly
0,obviously siding Cheney
4,Absolutely hilarious
4,never thank including Twitter Authors Rock Wave Grin
2,Learning jQuery Book Review
4,Awesome JQuery reference book Coda webdesign
4,sending mails like crazy today contacts anyone contact Goodby SIlverstein love speak
2,Adobe commercial Goodby Silverstein
4,Goodby Silverstein site enjoy
4,everyone Google conference free month unlimited service
4,dood free google android phone conference
4,amazing HUGE improvement
4,HTML Demos Lots great stuff come excited Happy googleio
4,Happy place Place place love Google
4,GoogleIO Bringing graphics browser nice Funfun
4,Awesome viral marketing Funny People
2,Watching programme life Hitler enhancing geekiness history
0,night museum sheer desperation funding movies
4,Night Museum Pretty furkin good
4,Watching Night Museum giggling
2,Jenna went Night Museum today surprised three cast members Office
2,watch Night Museum Ryan Stacy
2,Getting ready watch Night Museum give
0,Back seeing Star Trek Night Museum Star Trek amazing Night Museum
4,watched night museum stinkin cute
4,Night Museum AWESOME Much better part Next weekend
2,think favorite restaurant Night Museum
2,sold seeing Night Museum years
4,Night Museum loved Next
0,shame forced make cars White House THINKS sell think
0,noticed happy situation Lehman
2,Obama Nationalization short term
0,good riddance though
0,NEVER Government Motors Vehicle recently drove cars Since bought
0,Coca Cola board stupid heck tcot ala
0,RantsAndRaves worst thing concord pleasant hill martinez fucking
0,Give fish feed Teach fish feed life good
0,hear thing angry Billions wasted bullshit something like employees
0,junk quality compared honda
0,bankrupt
0,upset whole thing life know screwed
0,whoever running time warner needs repeatedly raped rhino understand consequences putting shitty cable svcs
2,Time Warner hints online fees magazines Read Mountain View United States Views
0,WFTB Joining late connection time warner
0,Time Warner cheaper gets dslreports expensive gets
0,furious time warner phone promotions
0,home chick boys Damn internets stupid time warner
0,could time warner cable suck
0,Pissed Time Warner causin slow internet problems
0,Time Warner problems
0,guys Time Warner suck much Really wish could Verse apartment
0,upside Time Warner unhelpful phone operators superslow site service Crap upside
0,Time Warner slogan Time Warner make long days cable
0,confirmed Time Warner fault Facebook taking minutes load tempted switch verizon
0,Time Warner epic fail
2,Lawson head Newedge Hong Kong business china
2,Weird Piano Guitar House China
2,Send Chevy photos
0,know hurricane season less scarey govt taking
0,files Bankruptcy good sign
4,yankees mets lost good
4,dentist appt today actually quite enjoyable
0,hate effing dentist
2,dentist appt morning conversation
0,hate going dentist
0,hate dentist invented anyways
0,dentist office cold Confused
2,Check video David Dentist
2,First dentist appointment years Wednesday possibly
2,Shanahan latest column SDSU NCAA Baseball Regional appearance
2,BaseballAmerica Blog Baseball America Prospects Blog Blog
2,Portland city politics undo baseball park
2,Merced water bottled Safeway resold profit Wells drying across county
2,dropped broccoli walking home safeway depressed
2,Safeway
4,applied Safeway
0,Safeway Place nightmare right Bumming
2,safeway
0,HATE safeway select green icecream bought cartons waste money
2,Safeway Marvin Janelle Auntie
2,Safeway offering mobile coupons
2,Phillies Driving Cadillac Cali
2,Saved money opting grocery store trip stocking food hotel room fridge eating every night town
2,Lounging around eating Taco Bell watching NCIS work tonight Need help staying awake
2,eating breakfast school
2,still hungry eating
2,tips healthy eating ResultsBy Fitness Blog Fitness
2,boyfriend eating quesadilla
2,Eating dinner Meat chips risotto
2,pair nike shoes pics later
2,Nike Blazer High Custom Brad Douglas
4,Nike rocks super grateful done Happy European Division NIKE BEYOND
2,Nike Yeezy Khaki Pink Colorway Release
4,tried Nike addictive
2,looks awful like Nike private jets sayin
4,Nike Training Club beta iPhone looks interesting
0,arggh jquery appear safari safari
2,DevSnippets jQuery Tools Javascript Components
2,Ajax jquery JavaScript many examples
4,ready drop pretenses forever love jQuery want marry Sorry ladies nerd jquery spokenFor
2,cold looking google chart visualization found jQuery wrapper
2,spent reading jQuery book start drinking delirium tremens
2,jquery Selectors
2,implement news ticker jQuery lines code
2,Buffet Warren Buffett Kicks Butt Battle Boots Posted Alex Crippe
4,SUPER INVESTORS great weekend read Warren Buffet Oldie goodie
2,truly braindead come Warren Buffet name save soul
4,reading Michael Palin book Python Years great book also recommend Warren Buffet Nelson Mandela
4,mean Notre Dame good school closer enjoy
0,watch without Tivo years Time Warner STILL sucks
4,sports writers idiots saying Roger Federer best ever Tennis Roger Federer best ever Tennis
0,still love Kindle reading York Times feel natural miss Bloomingdale
4,love Kindle stacks books trip
0,Although today keynote rocked every great announcement shit little
0,much obsession cell phones iphone slave forever Happy
2,thought WCDMA
2,read tethering support Phil joining
0,Fuzzball
0,Today good dislike Vote office indeed
4,WAVE SANDBOX INVITE Extra excited class play soon enough wave
0,looks like summize gone many tweets WWDC perhaps
2,hope girl work buys Kindle
2,Missed insight filled column smart looking closely impressed Kindle
4,Thanks much happy Kindle winners surprised fabulous Thank Best Kathleen
0,kinda dislike Apple right Case point iPhone Wish video recorder Please
4,Kindle Sony Like Physical device feels good Font nice turns snappy enuf little klunky
4,Kindle seems best eReader work
4,google addiction Thank pointing Hahaha
2,primary debit card Visa Electron
2,bank visa platinum card
0,dearest rich bastards VISA card sent work screw little like
2,date bobby flay fieri food network
4,Excited seeing Bobby Flay Fieri tomorrow Great American Food Music Fest
4,Gonna Bobby Flay moro Shoreline drink Gonna good
4,wait great american food music festival shoreline tomorrow katz pastrami bobby flay please
4,MESA grill last night Bobby Flay much except completely lost voice today
0,Fighting LaTex
0,love want Latex devil
0,hours hours inkscape crashing normally solid rock hours LaTeX complaining slightest thing take
2,Track Iran Social Media
0,Shit hitting Iran craziness indeed iranelection
0,Monday already Iran implode Kitchen disaster seems happy nice weekend great whoop
2,Twitter Stock buzz AAPL PALM updated Shocked
4,getting ready test burger receipes weekend Bobby Flay great receipes Thanks Bobby
2,Bobby Flay joining
4,love Bobby Flay favorite need place Phoenix great peppers
0,created first LaTeX file scratch work well great time waster
4,using Linux loving much nicer windows Looking forward using wysiwyg latex editor
4,using LaTeX typeset mathematics looks hideous
2,Programming LaTeX InDesign submitted calcio link comment
0,note hate Word hate Pages hate LaTeX said hate LaTeX TEXN come kill
4,back real text editing environment LaTeX
0,Trouble Iran Iran Iran away flockofseagullsweregeopoliticallycorrect
0,Reading tweets coming Iran whole thing terrifying incredibly
